DateTime,Value
01/01/2021 00:00:00,24.95
01/01/2021 01:00:00,24.35
01/01/2021 02:00:00,23.98
01/01/2021 03:00:00,23.72
01/01/2021 04:00:00,23.73
01/01/2021 05:00:00,24.06
01/01/2021 06:00:00,24.44
01/01/2021 07:00:00,24.93
01/01/2021 08:00:00,24.9
01/01/2021 09:00:00,25.07
01/01/2021 10:00:00,30.02
01/01/2021 11:00:00,37.14
01/01/2021 12:00:00,39.05
01/01/2021 13:00:00,40.59
01/01/2021 14:00:00,40.79
01/01/2021 15:00:00,45.47
01/01/2021 16:00:00,51.72
01/01/2021 17:00:00,55.39
01/01/2021 18:00:00,53.01
01/01/2021 19:00:00,55.74
01/01/2021 20:00:00,54.94
01/01/2021 21:00:00,50.82
01/01/2021 22:00:00,45.22
01/01/2021 23:00:00,25.64
01/02/2021 00:00:00,25.59
01/02/2021 01:00:00,24.91
01/02/2021 02:00:00,24.74
01/02/2021 03:00:00,24.66
01/02/2021 04:00:00,24.72
01/02/2021 05:00:00,24.92
01/02/2021 06:00:00,30.05
01/02/2021 07:00:00,26.19
01/02/2021 08:00:00,43.3
01/02/2021 09:00:00,47.85
01/02/2021 10:00:00,50.75
01/02/2021 11:00:00,50.9
01/02/2021 12:00:00,53.75
01/02/2021 13:00:00,50.75
01/02/2021 14:00:00,49.48
01/02/2021 15:00:00,52.16
01/02/2021 16:00:00,58.88
01/02/2021 17:00:00,60.51
01/02/2021 18:00:00,61.56
01/02/2021 19:00:00,56.17
01/02/2021 20:00:00,55.01
01/02/2021 21:00:00,52.6
01/02/2021 22:00:00,47.13
01/02/2021 23:00:00,39.56
01/03/2021 00:00:00,25.27
01/03/2021 01:00:00,24.59
01/03/2021 02:00:00,23.86
01/03/2021 03:00:00,23.57
01/03/2021 04:00:00,23.49
01/03/2021 05:00:00,23.85
01/03/2021 06:00:00,24.05
01/03/2021 07:00:00,24.8
01/03/2021 08:00:00,24.97
01/03/2021 09:00:00,25.65
01/03/2021 10:00:00,36.64
01/03/2021 11:00:00,36.73
01/03/2021 12:00:00,36.83
01/03/2021 13:00:00,36.31
01/03/2021 14:00:00,35.55
01/03/2021 15:00:00,36.76
01/03/2021 16:00:00,43.33
01/03/2021 17:00:00,44.45
01/03/2021 18:00:00,43.35
01/03/2021 19:00:00,42.45
01/03/2021 20:00:00,36.95
01/03/2021 21:00:00,34.79
01/03/2021 22:00:00,26.18
01/03/2021 23:00:00,24.92
01/04/2021 00:00:00,24.66
01/04/2021 01:00:00,24.05
01/04/2021 02:00:00,23.88
01/04/2021 03:00:00,24.03
01/04/2021 04:00:00,24.58
01/04/2021 05:00:00,25.84
01/04/2021 06:00:00,28.21
01/04/2021 07:00:00,49.76
01/04/2021 08:00:00,54.42
01/04/2021 09:00:00,55.69
01/04/2021 10:00:00,55.8
01/04/2021 11:00:00,58.27
01/04/2021 12:00:00,57.52
01/04/2021 13:00:00,56.53
01/04/2021 14:00:00,57.99
01/04/2021 15:00:00,58.03
01/04/2021 16:00:00,60.5
01/04/2021 17:00:00,65.22
01/04/2021 18:00:00,60.05
01/04/2021 19:00:00,53.73
01/04/2021 20:00:00,37.68
01/04/2021 21:00:00,38.49
01/04/2021 22:00:00,30.95
01/04/2021 23:00:00,27.35
01/05/2021 00:00:00,27.81
01/05/2021 01:00:00,27.45
01/05/2021 02:00:00,27.08
01/05/2021 03:00:00,27.14
01/05/2021 04:00:00,27.79
01/05/2021 05:00:00,29.81
01/05/2021 06:00:00,35.78
01/05/2021 07:00:00,53.64
01/05/2021 08:00:00,60
01/05/2021 09:00:00,60.12
01/05/2021 10:00:00,61.18
01/05/2021 11:00:00,62.46
01/05/2021 12:00:00,61.48
01/05/2021 13:00:00,62.29
01/05/2021 14:00:00,62.04
01/05/2021 15:00:00,62.51
01/05/2021 16:00:00,64.26
01/05/2021 17:00:00,65.6
01/05/2021 18:00:00,60.13
01/05/2021 19:00:00,54.66
01/05/2021 20:00:00,40.78
01/05/2021 21:00:00,39.6
01/05/2021 22:00:00,32.06
01/05/2021 23:00:00,29.21
01/06/2021 00:00:00,29.83
01/06/2021 01:00:00,28.72
01/06/2021 02:00:00,28.11
01/06/2021 03:00:00,27.98
01/06/2021 04:00:00,28.16
01/06/2021 05:00:00,29
01/06/2021 06:00:00,30.72
01/06/2021 07:00:00,35.54
01/06/2021 08:00:00,39.18
01/06/2021 09:00:00,41.88
01/06/2021 10:00:00,46.07
01/06/2021 11:00:00,45.27
01/06/2021 12:00:00,46.21
01/06/2021 13:00:00,47.35
01/06/2021 14:00:00,51.31
01/06/2021 15:00:00,54.9
01/06/2021 16:00:00,58.4
01/06/2021 17:00:00,59.93
01/06/2021 18:00:00,55.67
01/06/2021 19:00:00,50.25
01/06/2021 20:00:00,39.84
01/06/2021 21:00:00,39.93
01/06/2021 22:00:00,38.7
01/06/2021 23:00:00,32.5
01/07/2021 00:00:00,43.08
01/07/2021 01:00:00,40.9
01/07/2021 02:00:00,39.19
01/07/2021 03:00:00,39.78
01/07/2021 04:00:00,41.28
01/07/2021 05:00:00,45.54
01/07/2021 06:00:00,55.97
01/07/2021 07:00:00,67.8
01/07/2021 08:00:00,84.43
01/07/2021 09:00:00,83.86
01/07/2021 10:00:00,82.44
01/07/2021 11:00:00,85.99
01/07/2021 12:00:00,84.71
01/07/2021 13:00:00,82.29
01/07/2021 14:00:00,78.62
01/07/2021 15:00:00,81.57
01/07/2021 16:00:00,89.68
01/07/2021 17:00:00,99.91
01/07/2021 18:00:00,84.62
01/07/2021 19:00:00,77.79
01/07/2021 20:00:00,65.2
01/07/2021 21:00:00,59.33
01/07/2021 22:00:00,58.26
01/07/2021 23:00:00,50.99
01/08/2021 00:00:00,49.31
01/08/2021 01:00:00,47.38
01/08/2021 02:00:00,45.78
01/08/2021 03:00:00,44.51
01/08/2021 04:00:00,45.69
01/08/2021 05:00:00,50.33
01/08/2021 06:00:00,59.71
01/08/2021 07:00:00,79.56
01/08/2021 08:00:00,103.54
01/08/2021 09:00:00,107.8
01/08/2021 10:00:00,107.32
01/08/2021 11:00:00,104.26
01/08/2021 12:00:00,99.91
01/08/2021 13:00:00,95.27
01/08/2021 14:00:00,92.72
01/08/2021 15:00:00,95.42
01/08/2021 16:00:00,95
01/08/2021 17:00:00,110
01/08/2021 18:00:00,99.95
01/08/2021 19:00:00,80.12
01/08/2021 20:00:00,61.48
01/08/2021 21:00:00,59.43
01/08/2021 22:00:00,56.22
01/08/2021 23:00:00,50.48
01/09/2021 00:00:00,47.58
01/09/2021 01:00:00,47.04
01/09/2021 02:00:00,46.48
01/09/2021 03:00:00,47.67
01/09/2021 04:00:00,48.04
01/09/2021 05:00:00,47.77
01/09/2021 06:00:00,48.26
01/09/2021 07:00:00,52.16
01/09/2021 08:00:00,58.36
01/09/2021 09:00:00,64.68
01/09/2021 10:00:00,65.61
01/09/2021 11:00:00,65.89
01/09/2021 12:00:00,65.22
01/09/2021 13:00:00,61.03
01/09/2021 14:00:00,59.75
01/09/2021 15:00:00,60
01/09/2021 16:00:00,62.78
01/09/2021 17:00:00,69.92
01/09/2021 18:00:00,70.26
01/09/2021 19:00:00,67.3
01/09/2021 20:00:00,61.16
01/09/2021 21:00:00,55.19
01/09/2021 22:00:00,43.47
01/09/2021 23:00:00,36.64
01/10/2021 00:00:00,38.84
01/10/2021 01:00:00,35.97
01/10/2021 02:00:00,34.35
01/10/2021 03:00:00,33.87
01/10/2021 04:00:00,33.84
01/10/2021 05:00:00,34.21
01/10/2021 06:00:00,34.03
01/10/2021 07:00:00,37.61
01/10/2021 08:00:00,39.09
01/10/2021 09:00:00,40.76
01/10/2021 10:00:00,44.16
01/10/2021 11:00:00,46.24
01/10/2021 12:00:00,44.76
01/10/2021 13:00:00,44.34
01/10/2021 14:00:00,45.45
01/10/2021 15:00:00,48.03
01/10/2021 16:00:00,55.17
01/10/2021 17:00:00,59.67
01/10/2021 18:00:00,56.58
01/10/2021 19:00:00,55.04
01/10/2021 20:00:00,48.05
01/10/2021 21:00:00,44.49
01/10/2021 22:00:00,40.07
01/10/2021 23:00:00,35.88
01/11/2021 00:00:00,40.6
01/11/2021 01:00:00,39.59
01/11/2021 02:00:00,37.78
01/11/2021 03:00:00,35.43
01/11/2021 04:00:00,37.29
01/11/2021 05:00:00,41.41
01/11/2021 06:00:00,42.78
01/11/2021 07:00:00,60.24
01/11/2021 08:00:00,60.42
01/11/2021 09:00:00,62.36
01/11/2021 10:00:00,62.06
01/11/2021 11:00:00,65.51
01/11/2021 12:00:00,65.5
01/11/2021 13:00:00,65.13
01/11/2021 14:00:00,62.27
01/11/2021 15:00:00,62.14
01/11/2021 16:00:00,60.56
01/11/2021 17:00:00,60.43
01/11/2021 18:00:00,58.06
01/11/2021 19:00:00,39.71
01/11/2021 20:00:00,37.11
01/11/2021 21:00:00,34.24
01/11/2021 22:00:00,33.21
01/11/2021 23:00:00,27.39
01/12/2021 00:00:00,19.43
01/12/2021 01:00:00,15.82
01/12/2021 02:00:00,19
01/12/2021 03:00:00,24.14
01/12/2021 04:00:00,27
01/12/2021 05:00:00,35.03
01/12/2021 06:00:00,40.14
01/12/2021 07:00:00,54.51
01/12/2021 08:00:00,60.64
01/12/2021 09:00:00,57.49
01/12/2021 10:00:00,59.61
01/12/2021 11:00:00,57.88
01/12/2021 12:00:00,59.64
01/12/2021 13:00:00,54.94
01/12/2021 14:00:00,50.31
01/12/2021 15:00:00,54.23
01/12/2021 16:00:00,61.5
01/12/2021 17:00:00,64.12
01/12/2021 18:00:00,60.4
01/12/2021 19:00:00,53.58
01/12/2021 20:00:00,50.3
01/12/2021 21:00:00,40.71
01/12/2021 22:00:00,37.75
01/12/2021 23:00:00,34.62
01/13/2021 00:00:00,33.03
01/13/2021 01:00:00,32.43
01/13/2021 02:00:00,31.58
01/13/2021 03:00:00,30.84
01/13/2021 04:00:00,31.68
01/13/2021 05:00:00,36.81
01/13/2021 06:00:00,53.44
01/13/2021 07:00:00,61.3
01/13/2021 08:00:00,63.89
01/13/2021 09:00:00,64.12
01/13/2021 10:00:00,62.78
01/13/2021 11:00:00,64.12
01/13/2021 12:00:00,62
01/13/2021 13:00:00,64.1
01/13/2021 14:00:00,62.86
01/13/2021 15:00:00,64.76
01/13/2021 16:00:00,68.47
01/13/2021 17:00:00,67.65
01/13/2021 18:00:00,69.39
01/13/2021 19:00:00,57.92
01/13/2021 20:00:00,50.25
01/13/2021 21:00:00,50.47
01/13/2021 22:00:00,46.35
01/13/2021 23:00:00,38.03
01/14/2021 00:00:00,44.16
01/14/2021 01:00:00,44.17
01/14/2021 02:00:00,36.98
01/14/2021 03:00:00,39.44
01/14/2021 04:00:00,45.87
01/14/2021 05:00:00,80.04
01/14/2021 06:00:00,82.36
01/14/2021 07:00:00,121.63
01/14/2021 08:00:00,91
01/14/2021 09:00:00,89.27
01/14/2021 10:00:00,89.63
01/14/2021 11:00:00,91.05
01/14/2021 12:00:00,88.91
01/14/2021 13:00:00,89.24
01/14/2021 14:00:00,86.04
01/14/2021 15:00:00,91.21
01/14/2021 16:00:00,99.94
01/14/2021 17:00:00,103.14
01/14/2021 18:00:00,92.38
01/14/2021 19:00:00,87.7
01/14/2021 20:00:00,74.58
01/14/2021 21:00:00,62.74
01/14/2021 22:00:00,62.01
01/14/2021 23:00:00,55.6
01/15/2021 00:00:00,48.98
01/15/2021 01:00:00,47.49
01/15/2021 02:00:00,46.22
01/15/2021 03:00:00,45.3
01/15/2021 04:00:00,46.85
01/15/2021 05:00:00,109.92
01/15/2021 06:00:00,109.91
01/15/2021 07:00:00,80.04
01/15/2021 08:00:00,96.64
01/15/2021 09:00:00,100.16
01/15/2021 10:00:00,99.94
01/15/2021 11:00:00,89.11
01/15/2021 12:00:00,81.2
01/15/2021 13:00:00,78.52
01/15/2021 14:00:00,79.04
01/15/2021 15:00:00,78.87
01/15/2021 16:00:00,84.02
01/15/2021 17:00:00,99.5
01/15/2021 18:00:00,98.02
01/15/2021 19:00:00,95.01
01/15/2021 20:00:00,77.2
01/15/2021 21:00:00,67.18
01/15/2021 22:00:00,62.62
01/15/2021 23:00:00,53.7
01/16/2021 00:00:00,53.09
01/16/2021 01:00:00,51.65
01/16/2021 02:00:00,49.88
01/16/2021 03:00:00,48.45
01/16/2021 04:00:00,48.09
01/16/2021 05:00:00,47.35
01/16/2021 06:00:00,48
01/16/2021 07:00:00,51.43
01/16/2021 08:00:00,78.64
01/16/2021 09:00:00,79.92
01/16/2021 10:00:00,76.74
01/16/2021 11:00:00,73.36
01/16/2021 12:00:00,73.39
01/16/2021 13:00:00,78.68
01/16/2021 14:00:00,58.53
01/16/2021 15:00:00,73.31
01/16/2021 16:00:00,81.24
01/16/2021 17:00:00,79.92
01/16/2021 18:00:00,73.4
01/16/2021 19:00:00,63.76
01/16/2021 20:00:00,57.47
01/16/2021 21:00:00,52.98
01/16/2021 22:00:00,51.92
01/16/2021 23:00:00,48.17
01/17/2021 00:00:00,46.49
01/17/2021 01:00:00,44.82
01/17/2021 02:00:00,44.99
01/17/2021 03:00:00,44.98
01/17/2021 04:00:00,44.38
01/17/2021 05:00:00,44.33
01/17/2021 06:00:00,45.34
01/17/2021 07:00:00,46.5
01/17/2021 08:00:00,47.42
01/17/2021 09:00:00,51.13
01/17/2021 10:00:00,56.5
01/17/2021 11:00:00,59.94
01/17/2021 12:00:00,55.51
01/17/2021 13:00:00,52.82
01/17/2021 14:00:00,49.95
01/17/2021 15:00:00,56.96
01/17/2021 16:00:00,74.21
01/17/2021 17:00:00,74.26
01/17/2021 18:00:00,72
01/17/2021 19:00:00,67.78
01/17/2021 20:00:00,62.45
01/17/2021 21:00:00,55.56
01/17/2021 22:00:00,52.13
01/17/2021 23:00:00,46.9
01/18/2021 00:00:00,43.85
01/18/2021 01:00:00,44.37
01/18/2021 02:00:00,44.13
01/18/2021 03:00:00,44.47
01/18/2021 04:00:00,44.83
01/18/2021 05:00:00,58.93
01/18/2021 06:00:00,73.24
01/18/2021 07:00:00,75.77
01/18/2021 08:00:00,78.92
01/18/2021 09:00:00,75.65
01/18/2021 10:00:00,72.46
01/18/2021 11:00:00,70.51
01/18/2021 12:00:00,70.38
01/18/2021 13:00:00,71.19
01/18/2021 14:00:00,70.27
01/18/2021 15:00:00,72.22
01/18/2021 16:00:00,74.97
01/18/2021 17:00:00,76.99
01/18/2021 18:00:00,72.52
01/18/2021 19:00:00,63.24
01/18/2021 20:00:00,50.88
01/18/2021 21:00:00,51.97
01/18/2021 22:00:00,46.92
01/18/2021 23:00:00,37.83
01/19/2021 00:00:00,36.75
01/19/2021 01:00:00,35.94
01/19/2021 02:00:00,34.74
01/19/2021 03:00:00,35.96
01/19/2021 04:00:00,36.7
01/19/2021 05:00:00,55.1
01/19/2021 06:00:00,74.29
01/19/2021 07:00:00,84.94
01/19/2021 08:00:00,79.22
01/19/2021 09:00:00,74.29
01/19/2021 10:00:00,74.25
01/19/2021 11:00:00,72.63
01/19/2021 12:00:00,71.5
01/19/2021 13:00:00,71.5
01/19/2021 14:00:00,74.29
01/19/2021 15:00:00,81.26
01/19/2021 16:00:00,81.26
01/19/2021 17:00:00,74.2
01/19/2021 18:00:00,74.23
01/19/2021 19:00:00,52.66
01/19/2021 20:00:00,41.41
01/19/2021 21:00:00,48.37
01/19/2021 22:00:00,36.66
01/19/2021 23:00:00,31.23
01/20/2021 00:00:00,30.33
01/20/2021 01:00:00,28.4
01/20/2021 02:00:00,27.27
01/20/2021 03:00:00,26.77
01/20/2021 04:00:00,28.85
01/20/2021 05:00:00,34.46
01/20/2021 06:00:00,54.67
01/20/2021 07:00:00,62.82
01/20/2021 08:00:00,73.55
01/20/2021 09:00:00,73.41
01/20/2021 10:00:00,81.25
01/20/2021 11:00:00,81.23
01/20/2021 12:00:00,77.5
01/20/2021 13:00:00,73.4
01/20/2021 14:00:00,77.48
01/20/2021 15:00:00,81.26
01/20/2021 16:00:00,81.3
01/20/2021 17:00:00,81.28
01/20/2021 18:00:00,73.25
01/20/2021 19:00:00,50.06
01/20/2021 20:00:00,55.97
01/20/2021 21:00:00,32.19
01/20/2021 22:00:00,29.49
01/20/2021 23:00:00,25.3
01/21/2021 00:00:00,24.85
01/21/2021 01:00:00,21.49
01/21/2021 02:00:00,20.85
01/21/2021 03:00:00,19.97
01/21/2021 04:00:00,21.51
01/21/2021 05:00:00,31.74
01/21/2021 06:00:00,58.52
01/21/2021 07:00:00,63.74
01/21/2021 08:00:00,75.16
01/21/2021 09:00:00,75.15
01/21/2021 10:00:00,75.11
01/21/2021 11:00:00,64.06
01/21/2021 12:00:00,64.05
01/21/2021 13:00:00,72.87
01/21/2021 14:00:00,64.05
01/21/2021 15:00:00,75.14
01/21/2021 16:00:00,75.16
01/21/2021 17:00:00,72.86
01/21/2021 18:00:00,64.21
01/21/2021 19:00:00,62.61
01/21/2021 20:00:00,32.01
01/21/2021 21:00:00,30.08
01/21/2021 22:00:00,27.43
01/21/2021 23:00:00,24.09
01/22/2021 00:00:00,12.45
01/22/2021 01:00:00,13.92
01/22/2021 02:00:00,11.08
01/22/2021 03:00:00,11.8
01/22/2021 04:00:00,19.48
01/22/2021 05:00:00,26.93
01/22/2021 06:00:00,31.45
01/22/2021 07:00:00,57.6
01/22/2021 08:00:00,76
01/22/2021 09:00:00,76.76
01/22/2021 10:00:00,76.08
01/22/2021 11:00:00,63.89
01/22/2021 12:00:00,72.37
01/22/2021 13:00:00,63.84
01/22/2021 14:00:00,55.19
01/22/2021 15:00:00,72.33
01/22/2021 16:00:00,76.72
01/22/2021 17:00:00,76.04
01/22/2021 18:00:00,62.23
01/22/2021 19:00:00,33.35
01/22/2021 20:00:00,29.33
01/22/2021 21:00:00,27.83
01/22/2021 22:00:00,26.77
01/22/2021 23:00:00,25.4
01/23/2021 00:00:00,25.85
01/23/2021 01:00:00,24.97
01/23/2021 02:00:00,24.94
01/23/2021 03:00:00,26.01
01/23/2021 04:00:00,27.2
01/23/2021 05:00:00,30.37
01/23/2021 06:00:00,30.87
01/23/2021 07:00:00,33.83
01/23/2021 08:00:00,48.8
01/23/2021 09:00:00,55.55
01/23/2021 10:00:00,57.57
01/23/2021 11:00:00,57.57
01/23/2021 12:00:00,56.63
01/23/2021 13:00:00,52
01/23/2021 14:00:00,49.78
01/23/2021 15:00:00,50.92
01/23/2021 16:00:00,56.9
01/23/2021 17:00:00,61.58
01/23/2021 18:00:00,63.03
01/23/2021 19:00:00,57.66
01/23/2021 20:00:00,41.01
01/23/2021 21:00:00,39.04
01/23/2021 22:00:00,37.38
01/23/2021 23:00:00,36.48
01/24/2021 00:00:00,37.87
01/24/2021 01:00:00,37.91
01/24/2021 02:00:00,37.82
01/24/2021 03:00:00,37.88
01/24/2021 04:00:00,38.12
01/24/2021 05:00:00,38.74
01/24/2021 06:00:00,39.35
01/24/2021 07:00:00,40.66
01/24/2021 08:00:00,44.55
01/24/2021 09:00:00,49.32
01/24/2021 10:00:00,51.81
